step,wall_time,value
877,1784108882.221823,1.0
878,1784108882.3268702,0.90625
879,1784108882.434695,0.9375
880,1784108882.5401785,0.9375
881,1784108882.6437771,0.96875
882,1784108882.7464068,0.96875
883,1784108882.8508782,0.8125
884,1784108882.955159,0.96875
885,1784108883.058902,1.0
886,1784108883.1631703,0.96875
887,1784108883.2685082,1.0
888,1784108883.3746336,1.0
889,1784108883.479216,0.90625
890,1784108883.58379,0.90625
891,1784108883.6985505,0.96875
892,1784108883.803035,0.96875
893,1784108883.9056034,0.96875
894,1784108884.0098994,0.9375
895,1784108884.1135907,0.96875
896,1784108884.2206469,0.96875
897,1784108884.3261573,0.90625
